"Sponsor Name","Site Name","Site Address","City","State","Zip Code","Contact Name","Telephone","ProgramTypes"
"ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR","BOYCE CENTER/9TH AVENUE","819 WEST 9TH AVE","ESCONDIDO","CA",92025,"MS. LISA BURKE","760-745-9215","PRESCHOOL AGE CENTER (CCC)"
"ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR","CLOTHIER CENTER/LINCOLN AVENUE","613 E LINCOLN AVE","ESCONDIDO","CA",92027,"MS. RUTH HEWITT","760-839-9330","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR","JONES CENTER/VALLEY PKWY","2269 EAST VALLEY PARKWAY","ESCONDIDO","CA",92027,"MRS. MARCELA JOHNSTON","760-737-8880","PRESCHOOL AGE CENTER (CCC)"
"ESCONDIDO COMMUNITY CHILD DEVELOPMENT CTR","TODDLER TOWN","1300 N. ESCONDIDO BLVD","ESCONDIDO","CA",92026,"MS. NAJIYYA ALIM","760-740-9444","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT","ORANGE GLEN HIGH","2200 GLEN RIDGE ROAD","ESCONDIDO","CA",92027,"MS. EVELYN ZARZOSA","760-291-3239","AT RISK SITE (ATR)"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT","SAN PASQUAL HIGH","3300 BEAR VALLEY PARKWAY","ESCONDIDO","CA",92025,"MRS. RACHEL ASMAN","760-291-6063","INFANT/TODDLER (ITC)"
"ESCONDIDO UNION SCHOOL DISTRICT","BEAR VALLEY MIDDLE","3003 BEAR VALLEY PARKWAY","ESCONDIDO","CA",92025,"MRS. JUDI REYNOLDS","760-212-0710","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","CENTRAL ELEMENTARY","122 WEST 4TH AVENUE","ESCONDIDO","CA",92025,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","CONWAY ELEMENTARY","1325 CONWAY DRIVE","ESCONDIDO","CA",92027,"DIR. GAIL GOUSHA","760-644-3506","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","DEL DIOS ACADEMY OF ARTS AND SCIENCES","1400 WEST 9TH AVENUE","ESCONDIDO","CA",92025,"MRS. THERESA ADCOCK","760-801-3431","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","FARR AVENUE ELEMENTARY","933 FARR AVENUE","ESCONDIDO","CA",92026,"MRS. THERESA ADCOCK","760-801-3431","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","FELICITA ELEMENTARY","737 W. 13TH AVENUE","ESCONDIDO","CA",92025,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","GLEN VIEW ELEMENTARY","2201 E. MISSION AVENUE","ESCONDIDO","CA",92025,"MRS. JUDI REYNOLDS","760-802-6268","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","HIDDEN VALLEY MIDDLE","2700 REED ROAD","ESCONDIDO","CA",92028,"MRS. JUDI REYNOLDS","760-212-0710","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","JUNIPER ELEMENTARY","3115 LAS PALMAS AVENUE","ESCONDIDO","CA",92025,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","LINCOLN ELEMENTARY","1029 NORTH BROADWAY","ESCONDIDO","CA",92026,"MRS. PAM CHERESKIN","760-802-6270","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","MILLER ELEMENTARY","1975 MILLER AVENUE","ESCONDIDO","CA",92025,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","MISSION MIDDLE","939 EAST MISSION AVENUE","ESCONDIDO","CA",92025,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","OAK HILL ELEMENTARY","1820 OAK HILL DRIVE","ESCONDIDO","CA",92027,"MRS. PAM CHERESKIN","760-803-0117","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","ORANGE GLEN ELEMENTARY","2861 E. VALLEY PARKWAY","ESCONDIDO","CA",92027,"MRS. JUDI REYNOLDS","760-802-6268","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","PIONEER ELEMENTARY","980 N. ASH STREET","ESCONDIDO","CA",92027,"MRS. THERESA ADCOCK","760-801-3431","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","RINCON MIDDLE","925 LEHNER AVENUE","ESCONDIDO","CA",92026,"MRS. JUDI REYNOLDS","760-802-6268","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","ROCK SPRINGS ELEMENTARY","1155 DEODAR STREET","ESCONDIDO","CA",92026,"MRS. THERESA ADCOCK","760-801-3431","AT RISK SITE (ATR)"
"ESCONDIDO UNION SCHOOL DISTRICT","ROSE ELEMENTARY","906 N. ROSE STREET","ESCONDIDO","CA",92027,"MRS. JUDI REYNOLDS","760-802-6268","AT RISK SITE (ATR)"
"FALLBROOK CHILD DEVELOP CENTER","FALLBROOK CHILD DEV CENTER","320 NORTH IOWA ST","FALLBROOK","CA",92028,"MS. REVA REECE","760-728-5402","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"FEEDING AMERICA SAN DIEGO","BOYS AND GIRLS CLUB SAN MARCOS ELEMENTARY","1 POSITIVE PLACE","SAN MARCOS","CA",92069,"MS. KARA ARANGO","760-471-2490","AT RISK SITE (ATR)"
"FEEDING AMERICA SAN DIEGO","NORTH COUNTY LIFELINE LA ESCUELITA YOUTH DEVELOPMENT CLUB","1210 DIVISION ST","OCEANSIDE","CA",92054,"BARBERA MORENO","760-445-2406","AT RISK SITE (ATR)"
"FEEDING AMERICA SAN DIEGO","NORTH COUNTY LIFELINE LAS CASITAS YOUTH DEVELOPMENT CLUB","402 BROOKS ST","OCEANSIDE","CA",92054,"RHIANNON RIECKE","760-716-2312","AT RISK SITE (ATR)"
"FEEDING AMERICA SAN DIEGO","OCEAN DISCOVERY INSTITUTE","4388 THORN ST.","SAN DIEGO","CA",92105,"MISS MELISSA KATIGBAK","858-488-3849","AT RISK SITE (ATR)"
"GENAVEVES PLAYHOUSE PRESCHOOL","GENAVEVES PLAYHOUSE - ALPINE","2538 ALPINE BLVD","ALPINE","CA",91901,"MS. STEPHANIE FISHER","619-722-7166","PRESCHOOL AGE CENTER (CCC)"
"GENAVEVES PLAYHOUSE PRESCHOOL","GENAVEVES PLAYHOUSE - EL CAJON","8035 WINTERGARDENS BLVD","EL CAJON","CA",92021,"MRS. JESSICA SULLIVAN","619-390-5555","PRESCHOOL AGE CENTER (CCC), SCHOOL AGE CENTER (SAC)"
"GENAVEVES PLAYHOUSE PRESCHOOL","GENAVEVES PLAYHOUSE - SANTEE","8835 OLIVE LANE","SANTEE","CA",92071,"MRS. SARAH MATTHEWS","619-749-0270","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"GEORGE G GLENNER ALZHEIMERS FM CTR INC","G GLENNER F/CENTER ENCINITAS","335 SAXONY ROAD","ENCINITAS","CA",92024,"SHEILA ARGEANTON","760-635-1895","ADULT DAY HEALTH (ADH)"
"GEORGE G GLENNER ALZHEIMERS FM CTR INC","GEORGE G GLENNER ALZ/FAM CNTR","280 SAYLOR DR","CHULA VISTA","CA",91910,"BERNICE MOLINA","619-420-1703","ADULT DAY CARE (ADC), ADULT DAY HEALTH (ADH)"
"GEORGE G GLENNER ALZHEIMERS FM CTR INC","GGGAFC - SAN DIEGO","3686 FOURTH AVE","SAN DIEGO","CA","92103-4106","MARGE GALANTE","619-543-4704","ADULT DAY CARE (ADC)"
"GIGGLES & SMILES CHILD CARE CENTER","GIGGLES & SMILES CCC","11316 WOODSIDE AVE NORTH","SANTEE","CA",92071,"MRS. BROOKE GONZALES","619-258-5437","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT","CUYAMACA CHILD DEVELOPMENT CTR","900 RANCHO SAN DIEGO PARKWAY","EL CAJON","CA",92019,"MS. ELIZABETH FAIRCHILD","619-660-4660","PRESCHOOL AGE CENTER (CCC)"
"GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT","GROSSMONT COLLEGE CDC","8800 GROSSMONT COLLEGE DR","EL CAJON","CA",92020,"MS. SANDI MESCHOULAM","619-644-7716","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","BOYS AND GIRLS CLUB OF EAST COUNTY","1171 E. MADISON AVENUE","EL CAJON","CA",92021,"MR. SAL OLLOQUI","619-440-1600","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","CHAPARRAL HIGH","1600 N. CUYAMACA ST","EL CAJON","CA",92020,"MR. VINCE SCIMONE","619-644-8183","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","EL CAJON TEEN CENTER","1153 EAST MADISON AVE","EL CAJON","CA",92021,"MR. SAL OLLOQUI","619-440-1600","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","EL CAJON VALLEY HIGH","1035 E. MADISON AVE","EL CAJON","CA",92021,"MR. VINCE SCIMONE","619-644-8183","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","LAKESIDE CLUBHOUSE","12824 LAKESHORE DRIVE","LAKESIDE","CA",92040,"MR. SAL OLLOQUI","619-440-1600","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","LITERACY FIRST CHARTER SCHOOL - JA - ANNEX","1012 E. BRADLEY AVENUE","EL CAJON","CA",92021,"JAMIE PRO","619-596-5665","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","LITERACY FIRST CHARTER SCHOOL - LA - ANNEX","698 WEST MAIN STREET","EL CAJON","CA",92020,"MS. VICTOR KEMPSEY","619-579-7233","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","LITERACY FIRST CHARTER SCHOOL - PA -ANNEX","799 EAST WASHINGTON AVENUE","EL CAJON","CA",92020,"GAIL STROBEN","619-579-7232","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","MONTE VISTA HIGH","3230 SWEETWATER SPRINGS BLVD.","SPRING VALLEY","CA",91977,"MR. VINCE SCIMONE","619-644-8183","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","MOUNT MIGUEL HIGH","8585 BLOSSOM LANE","SPRING VALLEY","CA",91977,"MR. VINCE SCIMONE","619-644-8183","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","SANTEE BOYS AND GIRLS CLUB","8820 TAMBERLY WAY","SANTEE","CA",92071,"MR. SAL OLLOQUI","619-440-1600","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","ST. JOHN OF THE CROSS SCHOOL","8175 LEMON GROVE WAY","LEMON GROVE","CA",91945,"ANN DOYLE","619-466-8624","AT RISK SITE (ATR)"
"GROSSMONT UNION HIGH SCHOOL DISTRICT","THE CLUB - LA MESA TEEN CENTER","7775 JUNIOR HIGH DRIVE","LA MESA","CA",91941,"MR. SAL OLLOQUI","619-440-1600","AT RISK SITE (ATR)"
"GSCA INC","GROW SMART ACADEMY","6261 JACKSON DRIVE","SAN DIEGO","CA",92119,"MR. HUNAN ARSHAKIAN","619-464-0305","PRESCHOOL AGE CENTER (CCC)"
"GSCA INC","GROW SMART CHILDREN'S ACADEMY-SPRING VALLEY CENTER","8735 JAMACHA BLVD","SPRING VALLEY","CA",91977,"MR. HUNAN ARSHAKIAN","619-479-7577","PRESCHOOL AGE CENTER (CCC)"
"GSCA INC","GROW SMART CHILDRENS ACADEMY","6271 JACKSON DRIVE","SAN DIEGO","CA",92119,"ANAHIT ANTONYAN","619-464-0305","PRESCHOOL AGE CENTER (CCC), SCHOOL AGE CENTER (SAC)"
"GSCA INC","LITTLE ANGELS ACADEMY","3078 L STREET","SAN DIEGO","CA",92102,"MR. HUNAN ARSHAKIAN","619-458-9654","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"HAGAR & SHRYOCK","A CREATIVE BEGINNING FALLBROOK","409 E. FALLBROOK ST","FALLBROOK","CA",92028,"MS. ROSEMARY PADILLA","760-728-7600","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"HEALTHRIGHT 360","DISCOVERY CHILD DEVELOPMENT CENTER","950 N. FIG STREET","ESCONDIDO","CA",92026,"MRS. KAREN KOBZEFF","760-317-9021","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"HEAVEN'S WINDOWS","AL RAHMA LEARNING CENTER","7520 EL CAJON BLVD.","LA MESA","CA",91942,"MRS. LAILA GUMA","619-655-1823","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","BLESSED SACRAMENT PARISH SCHOOL","4551 56TH STREET","SAN DIEGO","CA",92115,"MS. CAROLINE NUNEZ","619-582-3862","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","CAMPO EDUCATIONAL CENTER & CHILDCARE","36190 CHURCH ROAD","CAMPO","CA",91906,"MRS. DEBORA CUERO","619-478-5583","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","CHULA VISTA PRESBYTERIAN PRESCHOOL","940 HILLTOP DRIVE","CHULA VISTA","CA",91911,"MRS. ALEXIS INGRAM","619-426-2292","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","IQRA LEARNING CENTER","5702 EL CAJON BLVD.","SAN DIEGO","CA",92115,"LIBAN ISHMAEL","619-793-8716","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","METRO AREA ADVISORY COMMITTEE (DIFFERENCT FROM HONEY BEE)","9119 JAMACHA ROAD","SPRING VALLEY","CA",91977,"LYNDA DUKES","619-426-3595","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","NEW SEASONS CHURCH","2300 BANCROFT DRIVE","SPRING VALLEY","CA",91977,"MS. LYNDA DUKES","619-463-0725","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","NEW SEASONS EL CAJON","909 NARANCA AVENUE","EL CAJON","CA",92021,"MRS. LAILA HANNA","619-635-5301","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","PROJECT ACCESS","378 S. MEADOWBROOK DRIVE","SAN DIEGO","CA",92114,"MR. ALEX GARCIA","619-479-9594","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","REFLECTIONS","8374 HERCULES STREET","LA MESA","CA",91942,"MRS. DONNA MCMANUS","619-667-6891","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","SAN DIEGO YOUTH SERVICES","3845 SPRING DRIVE","SPRING VALLEY","CA",91977,"MS. JOYCELYN DIAZ","619-258-6877","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","SOUTH BAY BAPTIST CHURCH","960 5TH AVENUE","CHULA VISTA","CA",91911,"PENNY BRACE","619-733-7776","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","SPRING VALLEY COMMUNITY CENTER","8735 JAMACHA BLVD.","SPRING VALLEY","CA",91977,"MRS. FLORENCE CASTRO","619-479-1832","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","SPRING VALLEY REC CLUB","838 KEMPTON STREET","SPRING VALLEY","CA",91977,"MR. CARL MC CULLOUGH","619-667-6839","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","UMI LEARNING CENTER","6157 UNIVERSITY AVENUE","SAN DIEGO","CA",92115,"MR. MOHAMED MOHAMED","619-309-6362","AT RISK SITE (ATR)"
"HEAVEN'S WINDOWS","VICTORY OUTREACH","4235 NATIONAL AVENUE","SAN DIEGO","CA",92113,"MRS. REGINA PITTMAN","619-381-8747","AT RISK SITE (ATR)"
"HIGHER LEARNING ACADEMY INC","HIGHER LEARNING ACADEMY","9467 JAMACHA BOULEVARD","SPRING VALLEY","CA",91977,"DR. MAURICE AGNES","619-606-0618","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC)"
"HOPE THROUGH HOUSING FOUNDATION","HOPE THRU HOUSING-PASEO DELORO","432 W MISSION","SAN MARCOS","CA",92069,"CECELIA VARGAS","760-522-6134","AT RISK SITE (ATR)"
"HOPE THROUGH HOUSING FOUNDATION","HOPE THRU HOUSING-SIERRA VISTA","422 LOS VALLECITOS BLVD","SAN MARCOS","CA",92069,"ELVIRA GARCIA","760-855-8539","AT RISK SITE (ATR)"
"HOPE THROUGH HOUSING FOUNDATION","HOPE THRU HSE COBBLESTONE VIL","360 EAST WASHINGTON","ESCONDIDO","CA",92025,"ELVIRA GARCIA","760-505-8820","AT RISK SITE (ATR)"
"HOPE THROUGH HOUSING FOUNDATION","MELROSE VILLAS/ATR","1820 MELROSE DR","SAN MARCOS","CA",92078,"ELVIRA GARCIA","909-483-2444","AT RISK SITE (ATR)"
"HOPE THROUGH HOUSING FOUNDATION","WEST LAKE VILLAGE","405 AUTUMN DR.","SAN MARCOS","CA",92069,"ELVIRA GARCIA","760-571-6958","AT RISK SITE (ATR)"
"HORIZONS ADHC CENTER","HORIZON ADHC CENTER","1415 E 8TH ST #5","NATIONAL CITY","CA",91950,"LORI HAEUSSLER","619-474-1822","ADULT DAY HEALTH (ADH)"
"J GELT CORPORATION CASA PACIFICA ADHC","CASA PACIFICA ADHC CENTER","1424 30TH ST SUITE C","SAN DIEGO","CA",92154,"LUBA VAISMAN","619-424-8181","ADULT DAY HEALTH (ADH)"
"JULIAN UNION ELEMENTARY SCHOOL DISTRICT","JULIAN ELEMENTARY","1704 CAPE HORN DR.","JULIAN","CA",92036,"TRISH ROTT","760-765-0661","AT RISK SITE (ATR)"
"KIDZ CITY","KIDZ CITY - ESCONDIDO","120 N. ASH STREET","ESCONDIDO","CA",92027,"MS. ELISHA VALENTINE","760-576-5439","HEAD START CENTER (HSC)"
"KINDERCARE EDUCATION LLC","KIN CARE LRN CTR/VIA MERCADO","3655 VIA MERCADO","LA MESA","CA",91941,"MRS. DEBBIE CHAVEZ","619-670-9388","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"KINDERCARE LEARNING CENTERS LLC","KINDERCARE COLLEGE OCEANSIDE","3536 COLLEGE BLVD","OCEANSIDE","CA",92054,"CELIDA BANUELOS","760-940-2008","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"KINDERCARE LEARNING CENTERS LLC","KINDERCARE JAMACHA","1470 JAMACHA RD","EL CAJON","CA",92020,"KEZIA GOODWIN","619-568-5959","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"KINDERCARE LEARNING CENTERS LLC","KINDERCARE ROTHGARD - INFANT","10130 ROTHGARD ROAD","SPRING VALLEY","CA",91977,"RENAE STANSBERRY","619-670-6566","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"KING CHAVEZ ACADEMY OF","KING-CHAVEZ SHERMAN HEIGHTS PRESCHOOL","2258 ISLAND AVENUE","SAN DIEGO","CA",92102,"MS. MYRNA SANDOVAL","619-955-8555","PRESCHOOL AGE CENTER (CCC)"
"LA JOLLA BAND OF LUISENO","LA JOLLA BAND OF LUISENO INDIANS","22000 HWY 76","PAUMA VALLEY","CA",92061,"MS. KATRINA KEYOITE","760-742-3771","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","AVONDALE ELEMENTARY","8401 STANSBURY STREET","SPRING VALLEY","CA",91977,"MRS. JOHN ASHLEY","619-668-5880","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","BANCROFT ELEMENTARY","8805 TYLER STREET","SPRING VALLEY","CA",91977,"MR. NOELLE COORDT","619-668-5890","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","CASA DE ORO ELEMENTARY","10227 RAMONA DRIVE","SPRING VALLEY","CA",91977,"MRS. DANA JAMES","619-668-5715","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","HIGHLANDS ELEMENTARY","3131 SOUTH BARCELONA","SPRING VALLEY","CA",91977,"MRS. EILEEN COTTER","619-668-5780","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","KEMPTON STREET ELEMENTARY","740 KEMPTON STREET","SPRING VALLEY","CA",91977,"MS. WENDY NEWMARK","619-668-5870","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LA MESA DALE ELEMENTARY","4370 PARKS AVE","LA MESA","CA",91941,"MRS. KELLY ROBASCO","619-668-5740","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LA MESA MIDDLE","4200 PARKS AVE","LA MESA","CA",91977,"MRS. BETH THOMAS","619-668-5730","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LA PRESA ELEMENTARY","519 LA PRESA AVE","SPRING VALLEY","CA",91977,"MR. PETER DEAN","619-668-5790","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LA PRESA MIDDLE","1001 LELAND STREET","SPRING VALLEY","CA",91977,"MR. MIKE ALLMANN","619-668-5720","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LEMON AVENUE ELEMENTARY","8787 LEMON AVE","LA MESA","CA",91941,"MRS. JENNIFER LUIBEL","619-668-5835","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","LOMA ELEMENTARY","10355 LOMA LANE","SPRING VALLEY","CA",91977,"MRS. MELODY BELCHER","619-668-5862","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","MARYLAND AVENUE ELEMENTARY","5400 MARYLAND AVE","LA MESA","CA",91942,"MS. KELLIE NELSON","619-668-5746","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","MURDOCK ELEMENTARY","4354 CONRAD DRIVE","LA MESA","CA",91941,"MR. JOHN ASHLEY","619-668-5865","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","RANCHO ELEMENTARY","8845 NOELINE AVE","SPRING VALLEY","CA",91977,"MRS. WENDY NEWMARK","619-668-5885","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","ROLANDO ELEMENTARY","6925 TOWER STREET","LA MESA","CA",91941,"MRS. JANELLE SCHEFTNER","619-668-5800","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SPRING VALLEY LIBRARY","836 KEMPTON STREET","SPRING VALLEY","CA",91977,"MRS. JENNIFER TEITLEBAUM","619-463-3006","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SPRING VALLEY MIDDLE","3900 CONRAD DRIVE","SPRING VALLEY","CA",91977,"MRS. DANA RAE WRIGHT","619-668-5750","AT RISK SITE (ATR)"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT","SWEETWATER SPRINGS ELEMENTARY","10129 AUSTIN DRIVE","SPRING VALLEY","CA",91977,"MRS. MONICA ROBINSON","619-668-5895","AT RISK SITE (ATR)"
"LA PETITE ACADEMY INC","LA PETITE ACADEMY","798 EAST J STREET","CHULA VISTA","CA",91910,"KELLY MASSEY","619-421-0966","PRESCHOOL AGE CENTER (CCC), INFANT/TODDLER (ITC), SCHOOL AGE CENTER (SAC)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","LAKESIDE FARMS ELEMENTARY","11915 LAKESIDE AVENUE","LAKESIDE","CA",92040,"BEV SHAFFER","619-390-2600","AT RISK SITE (ATR)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","LAKESIDE MIDDLE","11833 WOODSIDE AVENUE","LAKESIDE","CA",92040,"BEV SHAFFER","619-390-2600","AT RISK SITE (ATR)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","LEMON CREST ELEMENTARY","12463 LEMON CREST DRIVE","LAKESIDE","CA",92040,"BEV SCHAFFER","619-390-2600","AT RISK SITE (ATR)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","RIVER VALLEY CHARTER","9701 MARILLA DRIVE","LAKESIDE","CA",92040,"MS. SALLY SPERO","619-390-2600","AT RISK SITE (ATR)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","TIERRA DEL SOL MIDDLE","9611 PETITE LANE","LAKESIDE","CA",92040,"BEV SCHAFFER","619-390-2600","AT RISK SITE (ATR)"
"LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT","WINTER GARDENS ELEMENTARY","8501 PUEBLO ROAD","LAKESIDE","CA",92040,"BEV SHAKKER","619-390-2600","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES","7866 LINCOLN STREET","LEMON GROVE","CA",91945,"MS. JESSICA CASILLAS","619-825-2656","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","MONTEREY HEIGHTS ELEMENTARY","7550 CANTON DRIVE","LEMON GROVE","CA",91945,"MRS. JESSICA CASILLAS","619-825-2656","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","MT. VERNON ELEMENTARY","8350 MOUNT VERNON STREET","LEMON GROVE","CA",91945,"MS. JESSICA CASSILLAS","619-825-2656","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","SAN ALTOS ELEMENTARY","1750 MADERA STREET","LEMON GROVE","CA",91945,"MS. JESSICA CASSILLAS","619-825-2656","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","SAN MIGUEL ELEMENTARY","7059 SAN MIGUEL","LEMON GROVE","CA",91945,"MS. JESSICA CASILLAS","619-825-2656","AT RISK SITE (ATR)"
"LEMON GROVE SCHOOL DISTRICT","VISTA LA MESA ACADEMY","3900 VIOLET STREET","LA MESA","CA",91941,"MS. JESSICA CASILLA","619-825-2656","AT RISK SITE (ATR)"
"LIFEBRIDGE CHURCH","LIFEBRIDGE PRESCHOOL & DAYCARE CENTER","17645 W. BERNARDO DRIVE","SAN DIEGO","CA",92127,"CHRISTINA HILL","858-485-5933","PRESCHOOL AGE CENTER (CCC)"
"LINERS CORP","HOPE ADHC CENTER","11239 CAMINO RUIZ #A","SAN DIEGO","CA",92126,"MS. CYNTHIA PENERA SUNDBERG","858-653-5916","ADULT DAY HEALTH (ADH)"
"LOVING CARE ADHC LIMITED","LOVING CARE ADHC","2565 CAMINO DEL RIO SOUTH #201","SAN DIEGO","CA",92108,"YELENA FROLOVA","619-718-9777","ADULT DAY HEALTH (ADH)"
